Time	[AKT_mod_slash_PIP3_AKT_thr308]	[BDNF]	[CaMKIII_star]	[Ca]	[MAPK_star]	[protein]
4247	0.00543221	5e-05	0.0305037	0.08	0.00412947	5.19075e-06
4248	0.0054322	5e-05	0.0305037	0.08	0.00412947	5.19075e-06
4249	0.00543219	5e-05	0.0305037	0.08	0.00412947	5.19076e-06
4250	0.00543219	5e-05	0.0305037	0.08	0.00412947	5.19076e-06
4251	0.00543218	5e-05	0.0305037	0.08	0.00412947	5.19076e-06
4252	0.00543217	5e-05	0.0305037	0.08	0.00412947	5.19076e-06
4253	0.00543216	5e-05	0.0305037	0.08	0.00412947	5.19076e-06
4254	0.00543215	5e-05	0.0305037	0.08	0.00412947	5.19076e-06
4255	0.00543214	5e-05	0.0305037	0.08	0.00412947	5.19076e-06
4256	0.00543213	5e-05	0.0305037	0.08	0.00412947	5.19077e-06
4257	0.00543212	5e-05	0.0305037	0.08	0.00412947	5.19077e-06
4258	0.00543211	5e-05	0.0305037	0.08	0.00412947	5.19077e-06
4259	0.0054321	5e-05	0.0305037	0.08	0.00412947	5.19077e-06
4260	0.00543209	5e-05	0.0305037	0.08	0.00412947	5.19077e-06
4261	0.00543208	5e-05	0.0305037	0.08	0.00412946	5.19077e-06
4262	0.00543207	5e-05	0.0305037	0.08	0.00412946	5.19077e-06
4263	0.00543206	5e-05	0.0305036	0.08	0.00412946	5.19077e-06
4264	0.00543205	5e-05	0.0305036	0.08	0.00412946	5.19078e-06
4265	0.00543204	5e-05	0.0305036	0.08	0.00412946	5.19078e-06
4266	0.00543204	5e-05	0.0305036	0.08	0.00412946	5.19078e-06
4267	0.00543203	5e-05	0.0305036	0.08	0.00412946	5.19078e-06
4268	0.00543202	5e-05	0.0305036	0.08	0.00412946	5.19078e-06
4269	0.00543201	5e-05	0.0305036	0.08	0.00412946	5.19078e-06
4270	0.005432	5e-05	0.0305036	0.08	0.00412946	5.19078e-06
4271	0.00543199	5e-05	0.0305036	0.08	0.00412946	5.19079e-06
4272	0.00543198	5e-05	0.0305036	0.08	0.00412946	5.19079e-06
4273	0.00543197	5e-05	0.0305036	0.08	0.00412946	5.19079e-06
4274	0.00543196	5e-05	0.0305036	0.08	0.00412946	5.19079e-06
4275	0.00543195	5e-05	0.0305036	0.08	0.00412946	5.19079e-06
4276	0.00543194	5e-05	0.0305036	0.08	0.00412946	5.19079e-06
4277	0.00543193	5e-05	0.0305036	0.08	0.00412946	5.19079e-06
4278	0.00543193	5e-05	0.0305036	0.08	0.00412946	5.19079e-06
4279	0.00543192	5e-05	0.0305036	0.08	0.00412946	5.1908e-06
4280	0.00543191	5e-05	0.0305036	0.08	0.00412946	5.1908e-06
4281	0.0054319	5e-05	0.0305036	0.08	0.00412946	5.1908e-06
4282	0.00543189	5e-05	0.0305036	0.08	0.00412946	5.1908e-06
4283	0.00543188	5e-05	0.0305036	0.08	0.00412946	5.1908e-06
4284	0.00543187	5e-05	0.0305036	0.08	0.00412946	5.1908e-06
4285	0.00543186	5e-05	0.0305036	0.08	0.00412946	5.1908e-06
4286	0.00543185	5e-05	0.0305036	0.08	0.00412946	5.1908e-06
4287	0.00543184	5e-05	0.0305036	0.08	0.00412946	5.19081e-06
4288	0.00543183	5e-05	0.0305036	0.08	0.00412946	5.19081e-06
4289	0.00543182	5e-05	0.0305036	0.08	0.00412946	5.19081e-06
4290	0.00543182	5e-05	0.0305036	0.08	0.00412946	5.19081e-06
4291	0.00543181	5e-05	0.0305036	0.08	0.00412946	5.19081e-06
4292	0.0054318	5e-05	0.0305036	0.08	0.00412946	5.19081e-06
4293	0.00543179	5e-05	0.0305036	0.08	0.00412946	5.19081e-06
4294	0.00543178	5e-05	0.0305036	0.08	0.00412946	5.19081e-06
4295	0.00543177	5e-05	0.0305036	0.08	0.00412946	5.19082e-06
4296	0.00543176	5e-05	0.0305036	0.08	0.00412946	5.19082e-06
4297	0.00543175	5e-05	0.0305036	0.08	0.00412945	5.19082e-06
4298	0.00543174	5e-05	0.0305036	0.08	0.00412945	5.19082e-06
4299	0.00543173	5e-05	0.0305036	0.08	0.00412945	5.19082e-06
4300	0.00543173	5e-05	0.0305036	0.08	0.00412945	5.19082e-06
4301	0.00543172	5e-05	0.0305036	0.08	0.00412945	5.19082e-06
4302	0.00543171	5e-05	0.0305036	0.08	0.00412945	5.19082e-06
4303	0.0054317	5e-05	0.0305036	0.08	0.00412945	5.19082e-06
4304	0.00543169	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4305	0.00543168	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4306	0.00543167	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4307	0.00543166	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4308	0.00543165	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4309	0.00543165	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4310	0.00543164	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4311	0.00543163	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4312	0.00543162	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4313	0.00543161	5e-05	0.0305036	0.08	0.00412945	5.19083e-06
4314	0.0054316	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4315	0.00543159	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4316	0.00543158	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4317	0.00543158	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4318	0.00543157	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4319	0.00543156	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4320	0.00543155	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4321	0.00543154	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4322	0.00543153	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4323	0.00543152	5e-05	0.0305036	0.08	0.00412945	5.19084e-06
4324	0.00543151	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4325	0.00543151	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4326	0.0054315	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4327	0.00543149	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4328	0.00543148	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4329	0.00543147	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4330	0.00543146	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4331	0.00543145	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4332	0.00543144	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4333	0.00543144	5e-05	0.0305036	0.08	0.00412945	5.19085e-06
4334	0.00543143	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4335	0.00543142	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4336	0.00543141	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4337	0.0054314	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4338	0.00543139	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4339	0.00543138	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4340	0.00543138	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4341	0.00543137	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4342	0.00543136	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4343	0.00543135	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4344	0.00543134	5e-05	0.0305036	0.08	0.00412944	5.19086e-06
4345	0.00543133	5e-05	0.0305036	0.08	0.00412944	5.19087e-06
4346	0.00543132	5e-05	0.0305036	0.08	0.00412944	5.19087e-06
4347	0.00543132	5e-05	0.0305036	0.08	0.00412944	5.19087e-06
4348	0.00543131	5e-05	0.0305036	0.08	0.00412944	5.19087e-06
4349	0.0054313	5e-05	0.0305036	0.08	0.00412944	5.19087e-06
4350	0.00543129	5e-05	0.0305035	0.08	0.00412944	5.19087e-06
4351	0.00543128	5e-05	0.0305035	0.08	0.00412944	5.19087e-06
4352	0.00543127	5e-05	0.0305035	0.08	0.00412944	5.19087e-06
4353	0.00543127	5e-05	0.0305035	0.08	0.00412944	5.19087e-06
4354	0.00543126	5e-05	0.0305035	0.08	0.00412944	5.19087e-06
4355	0.00543125	5e-05	0.0305035	0.08	0.00412944	5.19087e-06
4356	0.00543124	5e-05	0.0305035	0.08	0.00412944	5.19087e-06
4357	0.00543123	5e-05	0.0305035	0.08	0.00412944	5.19087e-06
4358	0.00543122	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4359	0.00543122	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
