Time	[TCFBCatenin]	[pAkt]	[pERK]
662	8.81523	6.93067e-05	6.541
664	8.81526	6.86158e-05	6.5608
666	8.8153	6.79318e-05	6.58053
668	8.81533	6.72546e-05	6.60017
670	8.81536	6.65842e-05	6.61973
672	8.8154	6.59205e-05	6.63921
674	8.81543	6.52634e-05	6.65861
676	8.81547	6.46128e-05	6.67792
678	8.8155	6.39688e-05	6.69716
680	8.81554	6.33311e-05	6.71632
682	8.81557	6.26999e-05	6.73539
684	8.81561	6.2075e-05	6.75438
686	8.81565	6.14562e-05	6.7733
688	8.81568	6.08437e-05	6.79213
690	8.81572	6.02373e-05	6.81088
692	8.81576	5.96369e-05	6.82955
694	8.81579	5.90426e-05	6.84814
696	8.81583	5.84541e-05	6.86665
698	8.81587	5.78716e-05	6.88507
700	8.8159	5.72948e-05	6.90342
702	8.81594	5.67239e-05	6.92169
704	8.81598	5.61586e-05	6.93987
706	8.81602	5.55989e-05	6.95798
708	8.81606	5.50449e-05	6.976
710	8.8161	5.44963e-05	6.99395
712	8.81614	5.39533e-05	7.01182
714	8.81618	5.34156e-05	7.0296
716	8.81621	5.28834e-05	7.04731
718	8.81625	5.23564e-05	7.06493
720	8.81629	5.18347e-05	7.08248
722	8.81633	5.13182e-05	7.09994
724	8.81638	5.08069e-05	7.11733
726	8.81642	5.03006e-05	7.13464
728	8.81646	4.97994e-05	7.15186
730	8.8165	4.93032e-05	7.16901
732	8.81654	4.8812e-05	7.18608
734	8.81658	4.83257e-05	7.20307
736	8.81662	4.78442e-05	7.21998
738	8.81666	4.73675e-05	7.23681
740	8.81671	4.68956e-05	7.25357
742	8.81675	4.64284e-05	7.27024
744	8.81679	4.59658e-05	7.28684
746	8.81684	4.55079e-05	7.30336
748	8.81688	4.50545e-05	7.31979
750	8.81692	4.46056e-05	7.33616
752	8.81697	4.41613e-05	7.35244
754	8.81701	4.37213e-05	7.36864
756	8.81705	4.32858e-05	7.38477
758	8.8171	4.28545e-05	7.40082
760	8.81714	4.24276e-05	7.41679
762	8.81719	4.2005e-05	7.43269
764	8.81723	4.15865e-05	7.44851
766	8.81728	4.11723e-05	7.46425
768	8.81732	4.07621e-05	7.47991
770	8.81737	4.03561e-05	7.4955
772	8.81742	3.99541e-05	7.511
774	8.81746	3.95561e-05	7.52644
776	8.81751	3.91621e-05	7.54179
778	8.81756	3.8772e-05	7.55707
780	8.8176	3.83858e-05	7.57228
782	8.81765	3.80035e-05	7.58741
784	8.8177	3.76249e-05	7.60246
786	8.81774	3.72502e-05	7.61743
788	8.81779	3.68792e-05	7.63233
790	8.81784	3.65118e-05	7.64716
792	8.81789	3.61482e-05	7.66191
794	8.81794	3.57881e-05	7.67658
796	8.81799	3.54317e-05	7.69118
798	8.81803	3.50788e-05	7.70571
800	8.81808	3.47294e-05	7.72016
802	8.81813	3.43835e-05	7.73453
804	8.81818	3.40411e-05	7.74883
806	8.81823	3.37021e-05	7.76306
808	8.81828	3.33664e-05	7.77721
810	8.81833	3.30341e-05	7.79129
812	8.81838	3.27051e-05	7.80529
814	8.81844	3.23794e-05	7.81923
816	8.81849	3.20569e-05	7.83308
818	8.81854	3.17377e-05	7.84687
820	8.81859	3.14216e-05	7.86058
822	8.81864	3.11087e-05	7.87422
824	8.81869	3.07989e-05	7.88778
826	8.81874	3.04922e-05	7.90127
828	8.8188	3.01885e-05	7.91469
830	8.81885	2.98879e-05	7.92804
832	8.8189	2.95903e-05	7.94132
834	8.81896	2.92956e-05	7.95452
836	8.81901	2.90039e-05	7.96765
838	8.81906	2.8715e-05	7.98071
840	8.81912	2.84291e-05	7.9937
842	8.81917	2.8146e-05	8.00662
844	8.81922	2.78657e-05	8.01946
846	8.81928	2.75882e-05	8.03224
848	8.81933	2.73135e-05	8.04494
850	8.81939	2.70416e-05	8.05758
852	8.81944	2.67723e-05	8.07014
854	8.8195	2.65057e-05	8.08263
856	8.81955	2.62418e-05	8.09506
858	8.81961	2.59805e-05	8.10741
860	8.81967	2.57218e-05	8.11969
862	8.81972	2.54657e-05	8.1319
864	8.81978	2.52121e-05	8.14405
866	8.81983	2.49611e-05	8.15612
868	8.81989	2.47125e-05	8.16813
870	8.81995	2.44665e-05	8.18006
872	8.82001	2.42229e-05	8.19193
874	8.82006	2.39817e-05	8.20373
876	8.82012	2.37429e-05	8.21546
878	8.82018	2.35065e-05	8.22712
880	8.82024	2.32725e-05	8.23872
882	8.8203	2.30407e-05	8.25024
884	8.82035	2.28113e-05	8.2617
886	8.82041	2.25842e-05	8.27309
888	8.82047	2.23594e-05	8.28442
890	8.82053	2.21368e-05	8.29568
892	8.82059	2.19164e-05	8.30686
894	8.82065	2.16982e-05	8.31799
896	8.82071	2.14821e-05	8.32904
898	8.82077	2.12682e-05	8.34003
900	8.82083	2.10565e-05	8.35096
902	8.82089	2.08469e-05	8.36182
904	8.82095	2.06393e-05	8.37261
906	8.82101	2.04338e-05	8.38333
908	8.82107	2.02304e-05	8.39399
910	8.82113	2.0029e-05	8.40459
912	8.8212	1.98296e-05	8.41512
914	8.82126	1.96322e-05	8.42558
916	8.82132	1.94367e-05	8.43598
918	8.82138	1.92432e-05	8.44632
920	8.82144	1.90517e-05	8.45659
922	8.82151	1.8862e-05	8.46679
924	8.82157	1.86742e-05	8.47694
926	8.82163	1.84883e-05	8.48702
928	8.8217	1.83043e-05	8.49703
930	8.82176	1.8122e-05	8.50698
932	8.82182	1.79416e-05	8.51687
934	8.82189	1.7763e-05	8.52669
936	8.82195	1.75862e-05	8.53645
938	8.82201	1.74111e-05	8.54615
940	8.82208	1.72378e-05	8.55579
942	8.82214	1.70662e-05	8.56536
944	8.82221	1.68963e-05	8.57487
946	8.82227	1.67281e-05	8.58432
948	8.82234	1.65616e-05	8.59371
950	8.8224	1.63967e-05	8.60303
952	8.82247	1.62335e-05	8.6123
954	8.82254	1.60719e-05	8.6215
956	8.8226	1.59119e-05	8.63064
958	8.82267	1.57535e-05	8.63972
960	8.82274	1.55967e-05	8.64874
962	8.8228	1.54414e-05	8.6577
964	8.82287	1.52877e-05	8.6666
966	8.82294	1.51355e-05	8.67543
968	8.823	1.49849e-05	8.68421
970	8.82307	1.48357e-05	8.69293
972	8.82314	1.4688e-05	8.70159
974	8.82321	1.45418e-05	8.71018
976	8.82327	1.43971e-05	8.71872
978	8.82334	1.42538e-05	8.7272
980	8.82341	1.41119e-05	8.73562
982	8.82348	1.39714e-05	8.74398
984	8.82355	1.38323e-05	8.75229
