Time	[TCFBCatenin]	[pAkt]	[pERK]
371	8.82301	0.000298825	18.7221
372	8.82309	0.000297323	18.8304
373	8.82317	0.000295828	18.9389
374	8.82325	0.00029434	19.0476
375	8.82333	0.00029286	19.1566
376	8.82341	0.000291388	19.2657
377	8.82349	0.000289923	19.3751
378	8.82357	0.000288465	19.4847
379	8.82365	0.000287015	19.5945
380	8.82373	0.000285572	19.7046
381	8.82381	0.000284137	19.8148
382	8.82389	0.000282709	19.9253
383	8.82397	0.000281288	20.0359
384	8.82406	0.000279874	20.1468
385	8.82414	0.000278467	20.2579
386	8.82422	0.000277068	20.3692
387	8.82431	0.000275675	20.4807
388	8.82439	0.00027429	20.5924
389	8.82447	0.000272911	20.7043
390	8.82456	0.00027154	20.8164
391	8.82464	0.000270176	20.9287
392	8.82473	0.000268818	21.0412
393	8.82481	0.000267467	21.1539
394	8.8249	0.000266124	21.2668
395	8.82499	0.000264787	21.3799
396	8.82507	0.000263456	21.4932
397	8.82516	0.000262133	21.6067
398	8.82525	0.000260816	21.7204
399	8.82534	0.000259506	21.8343
400	8.82543	0.000258202	21.9484
401	8.82551	0.000256905	22.0627
402	8.8256	0.000255615	22.1772
403	8.82569	0.000254331	22.2918
404	8.82578	0.000253054	22.4067
405	8.82587	0.000251783	22.5217
406	8.82596	0.000250518	22.6369
407	8.82606	0.00024926	22.7524
408	8.82615	0.000248009	22.8679
409	8.82624	0.000246763	22.9837
410	8.82633	0.000245524	23.0997
411	8.82642	0.000244291	23.2158
412	8.82652	0.000243065	23.3322
413	8.82661	0.000241844	23.4487
414	8.8267	0.00024063	23.5654
415	8.8268	0.000239422	23.6822
416	8.82689	0.00023822	23.7993
417	8.82699	0.000237024	23.9165
418	8.82708	0.000235834	24.0339
419	8.82718	0.00023465	24.1515
420	8.82727	0.000233472	24.2692
421	8.82737	0.000232301	24.3871
422	8.82747	0.000231135	24.5052
423	8.82756	0.000229974	24.6235
424	8.82766	0.00022882	24.7419
425	8.82776	0.000227672	24.8605
426	8.82786	0.000226529	24.9792
427	8.82796	0.000225392	25.0982
428	8.82805	0.000224261	25.2173
429	8.82815	0.000223136	25.3365
430	8.82825	0.000222016	25.4559
431	8.82835	0.000220902	25.5755
432	8.82845	0.000219793	25.6953
433	8.82856	0.000218691	25.8152
434	8.82866	0.000217593	25.9352
435	8.82876	0.000216502	26.0555
436	8.82886	0.000215415	26.1758
437	8.82896	0.000214335	26.2964
438	8.82907	0.000213259	26.4171
439	8.82917	0.000212189	26.5379
440	8.82927	0.000211125	26.6589
441	8.82938	0.000210066	26.7801
442	8.82948	0.000209012	26.9014
443	8.82958	0.000207964	27.0229
444	8.82969	0.00020692	27.1445
445	8.8298	0.000205882	27.2662
446	8.8299	0.00020485	27.3881
447	8.83001	0.000203822	27.5102
448	8.83011	0.0002028	27.6324
449	8.83022	0.000201783	27.7547
450	8.83033	0.000200771	27.8772
451	8.83044	0.000199764	27.9999
452	8.83054	0.000198762	28.1226
453	8.83065	0.000197766	28.2455
454	8.83076	0.000196774	28.3686
455	8.83087	0.000195787	28.4918
456	8.83098	0.000194805	28.6151
457	8.83109	0.000193829	28.7386
458	8.8312	0.000192857	28.8622
459	8.83131	0.00019189	28.986
460	8.83142	0.000190928	29.1099
461	8.83153	0.00018997	29.2339
462	8.83165	0.000189018	29.358
463	8.83176	0.00018807	29.4823
464	8.83187	0.000187127	29.6067
465	8.83198	0.000186189	29.7313
466	8.8321	0.000185256	29.856
467	8.83221	0.000184327	29.9808
468	8.83232	0.000183403	30.1057
469	8.83244	0.000182484	30.2308
470	8.83255	0.000181569	30.3559
471	8.83267	0.000180659	30.4812
472	8.83278	0.000179754	30.6067
473	8.8329	0.000178853	30.7322
474	8.83302	0.000177956	30.8579
475	8.83313	0.000177064	30.9837
476	8.83325	0.000176177	31.1096
477	8.83337	0.000175294	31.2357
478	8.83349	0.000174415	31.3619
479	8.8336	0.000173541	31.4881
480	8.83372	0.000172672	31.6145
481	8.83384	0.000171806	31.741
482	8.83396	0.000170945	31.8677
483	8.83408	0.000170089	31.9944
484	8.8342	0.000169236	32.1213
485	8.83432	0.000168388	32.2482
486	8.83444	0.000167545	32.3753
487	8.83456	0.000166705	32.5025
488	8.83469	0.00016587	32.6298
489	8.83481	0.000165039	32.7572
490	8.83493	0.000164212	32.8847
491	8.83505	0.000163389	33.0124
492	8.83518	0.000162571	33.1401
493	8.8353	0.000161756	33.2679
494	8.83542	0.000160946	33.3959
495	8.83555	0.00016014	33.5239
496	8.83567	0.000159337	33.6521
497	8.8358	0.000158539	33.7803
498	8.83592	0.000157745	33.9087
499	8.83605	0.000156955	34.0372
500	8.83618	0.000156169	34.1657
501	8.8363	0.000155387	34.2944
502	8.83643	0.000154608	34.4231
503	8.83656	0.000153834	34.552
504	8.83668	0.000153063	34.6809
505	8.83681	0.000152297	34.81
506	8.83694	0.000151534	34.9391
507	8.83707	0.000150775	35.0683
508	8.8372	0.00015002	35.1977
509	8.83733	0.000149269	35.3271
510	8.83746	0.000148521	35.4566
511	8.83759	0.000147777	35.5862
512	8.83772	0.000147037	35.7159
513	8.83785	0.000146301	35.8456
514	8.83798	0.000145568	35.9755
515	8.83811	0.000144839	36.1055
516	8.83825	0.000144114	36.2355
517	8.83838	0.000143392	36.3656
518	8.83851	0.000142674	36.4958
519	8.83864	0.00014196	36.6261
520	8.83878	0.000141249	36.7565
521	8.83891	0.000140542	36.887
522	8.83905	0.000139838	37.0175
523	8.83918	0.000139138	37.1481
524	8.83932	0.000138442	37.2788
525	8.83945	0.000137749	37.4096
526	8.83959	0.000137059	37.5405
527	8.83972	0.000136373	37.6714
528	8.83986	0.00013569	37.8024
529	8.84	0.000135011	37.9335
530	8.84014	0.000134335	38.0647
531	8.84027	0.000133662	38.1959
532	8.84041	0.000132993	38.3273
533	8.84055	0.000132328	38.4586
534	8.84069	0.000131665	38.5901
535	8.84083	0.000131006	38.7216
536	8.84097	0.00013035	38.8532
537	8.84111	0.000129698	38.9849
538	8.84125	0.000129049	39.1167
539	8.84139	0.000128403	39.2485
540	8.84153	0.00012776	39.3803
541	8.84167	0.000127121	39.5123
542	8.84181	0.000126484	39.6443
543	8.84195	0.000125851	39.7764
544	8.8421	0.000125222	39.9085
545	8.84224	0.000124595	40.0407
546	8.84238	0.000123971	40.173
547	8.84253	0.000123351	40.3053
548	8.84267	0.000122734	40.4377
549	8.84282	0.000122119	40.5702
550	8.84296	0.000121508	40.7027
551	8.84311	0.0001209	40.8352
552	8.84325	0.000120295	40.9679
553	8.8434	0.000119693	41.1006
554	8.84354	0.000119094	41.2333
555	8.84369	0.000118498	41.3661
556	8.84384	0.000117905	41.499
557	8.84398	0.000117315	41.6319
558	8.84413	0.000116728	41.7648
559	8.84428	0.000116144	41.8979
560	8.84443	0.000115563	42.0309
561	8.84458	0.000114985	42.1641
562	8.84473	0.00011441	42.2972
563	8.84487	0.000113837	42.4305
564	8.84502	0.000113268	42.5637
565	8.84517	0.000112701	42.6971
566	8.84533	0.000112137	42.8304
567	8.84548	0.000111576	42.9638
568	8.84563	0.000111018	43.0973
569	8.84578	0.000110463	43.2308
570	8.84593	0.00010991	43.3644
571	8.84608	0.00010936	43.498
572	8.84624	0.000108813	43.6316
573	8.84639	0.000108269	43.7653
574	8.84654	0.000107727	43.8991
575	8.8467	0.000107188	44.0328
576	8.84685	0.000106652	44.1667
577	8.847	0.000106119	44.3005
578	8.84716	0.000105588	44.4344
579	8.84731	0.00010506	44.5683
580	8.84747	0.000104534	44.7023
581	8.84763	0.000104011	44.8363
582	8.84778	0.000103491	44.9704
583	8.84794	0.000102973	45.1045
584	8.8481	0.000102458	45.2386
585	8.84825	0.000101946	45.3727
586	8.84841	0.000101436	45.5069
587	8.84857	0.000100929	45.6412
588	8.84873	0.000100424	45.7754
589	8.84889	9.99217e-05	45.9097
590	8.84905	9.94219e-05	46.044
591	8.8492	9.89247e-05	46.1784
592	8.84936	9.843e-05	46.3128
593	8.84952	9.79377e-05	46.4472
594	8.84969	9.7448e-05	46.5816
595	8.84985	9.69606e-05	46.7161
596	8.85001	9.64757e-05	46.8506
597	8.85017	9.59933e-05	46.9851
598	8.85033	9.55133e-05	47.1197
599	8.85049	9.50356e-05	47.2543
600	8.85066	9.45604e-05	47.3889
601	8.85082	9.40875e-05	47.5235
602	8.85098	9.36171e-05	47.6582
603	8.85115	9.31489e-05	47.7928
604	8.85131	9.26832e-05	47.9275
605	8.85147	9.22197e-05	48.0623
606	8.85164	9.17586e-05	48.197
607	8.8518	9.12998e-05	48.3318
608	8.85197	9.08433e-05	48.4666
609	8.85213	9.03891e-05	48.6014
610	8.8523	8.99372e-05	48.7362
611	8.85247	8.94875e-05	48.871
612	8.85263	8.90401e-05	49.0059
613	8.8528	8.85949e-05	49.1408
614	8.85297	8.81519e-05	49.2756
615	8.85314	8.77112e-05	49.4106
616	8.8533	8.72727e-05	49.5455
617	8.85347	8.68364e-05	49.6804
618	8.85364	8.64022e-05	49.8154
619	8.85381	8.59703e-05	49.9503
620	8.85398	8.55405e-05	50.0853
621	8.85415	8.51129e-05	50.2203
622	8.85432	8.46874e-05	50.3553
623	8.85449	8.4264e-05	50.4903
624	8.85466	8.38427e-05	50.6253
625	8.85483	8.34236e-05	50.7604
626	8.85501	8.30066e-05	50.8954
627	8.85518	8.25916e-05	51.0305
628	8.85535	8.21788e-05	51.1655
629	8.85552	8.1768e-05	51.3006
630	8.8557	8.13592e-05	51.4357
631	8.85587	8.09526e-05	51.5707
632	8.85604	8.05479e-05	51.7058
633	8.85622	8.01453e-05	51.8409
634	8.85639	7.97447e-05	51.976
635	8.85657	7.93461e-05	52.1111
636	8.85674	7.89495e-05	52.2462
637	8.85692	7.85548e-05	52.3813
638	8.85709	7.81622e-05	52.5164
639	8.85727	7.77715e-05	52.6515
640	8.85744	7.73828e-05	52.7866
641	8.85762	7.6996e-05	52.9217
642	8.8578	7.66112e-05	53.0568
643	8.85798	7.62283e-05	53.1919
644	8.85815	7.58473e-05	53.3271
645	8.85833	7.54682e-05	53.4622
646	8.85851	7.50911e-05	53.5973
647	8.85869	7.47158e-05	53.7324
648	8.85887	7.43423e-05	53.8675
649	8.85905	7.39708e-05	54.0025
650	8.85923	7.36011e-05	54.1376
651	8.85941	7.32333e-05	54.2727
652	8.85959	7.28673e-05	54.4078
653	8.85977	7.25031e-05	54.5429
654	8.85995	7.21408e-05	54.6779
655	8.86013	7.17803e-05	54.813
656	8.86031	7.14216e-05	54.948
657	8.86049	7.10647e-05	55.0831
658	8.86068	7.07095e-05	55.2181
659	8.86086	7.03562e-05	55.3531
660	8.86104	7.00046e-05	55.4881
661	8.86123	6.96548e-05	55.6231
662	8.86141	6.93067e-05	55.7581
663	8.86159	6.89604e-05	55.8931
664	8.86178	6.86158e-05	56.0281
665	8.86196	6.82729e-05	56.163
666	8.86215	6.79318e-05	56.298
667	8.86233	6.75923e-05	56.4329
668	8.86252	6.72546e-05	56.5678
669	8.8627	6.69185e-05	56.7027
670	8.86289	6.65841e-05	56.8376
671	8.86308	6.62515e-05	56.9725
672	8.86326	6.59204e-05	57.1073
673	8.86345	6.5591e-05	57.2421
674	8.86364	6.52633e-05	57.377
675	8.86383	6.49372e-05	57.5118
676	8.86402	6.46128e-05	57.6465
677	8.8642	6.42899e-05	57.7813
678	8.86439	6.39687e-05	57.9161
679	8.86458	6.36491e-05	58.0508
680	8.86477	6.33311e-05	58.1855
681	8.86496	6.30147e-05	58.3202
682	8.86515	6.26999e-05	58.4548
683	8.86534	6.23866e-05	58.5895
684	8.86553	6.20749e-05	58.7241
685	8.86572	6.17648e-05	58.8587
686	8.86592	6.14562e-05	58.9933
687	8.86611	6.11492e-05	59.1278
