# Output of 'KaSim' 'AMPA5_8020.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_LTP_PSD_10.ka' '-l' '10000' '-p' '1' '-o' 'late_LTP_Slot_10.out' -seed 199994055
# "uuid" : "526912890"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap"
24.,0,0,1,0,0,1,1,0,0,0,108,1,1,1.,33,1,16,17,0,0,0,105,13,23,23,2,5,38,50,1,20,1,22,16,1,0,1,8,5,3,1,8,2,1,0,9,1,30,1,13,201,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,201,50,0
25.,0,0,1,0,0,1,1,0,0,0,108,0,2,1.,32,1,17,18,0,0,0,105,4,20,20,0,8,34,50,1,15,0,21,13,0,0,1,10,5,6,1,3,4,1,2,13,1,30,3,4,201,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,201,50,0
26.,0,0,1,0,0,1,1,0,0,0,108,1,1,1.,36,1,13,14,0,0,0,106,6,15,15,1,4,36,50,0,21,0,19,12,0,0,1,9,6,5,3,3,3,1,2,10,4,30,2,6,201,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,201,50,0
27.,0,0,1,0,0,1,1,0,0,1,107,0,2,1.,36,1,13,14,0,0,0,103,2,14,14,5,7,37,47,0,20,0,19,12,0,0,1,8,6,3,1,3,2,1,2,11,2,30,0,2,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
28.,0,0,1,0,0,1,1,0,0,0,108,0,2,1.,36,1,13,14,0,0,0,102,5,20,20,2,3,38,51,0,24,0,22,19,0,0,0,7,6,4,2,2,3,2,2,7,6,30,0,5,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
29.,0,0,1,0,0,1,1,0,0,0,108,0,2,1.,37,1,12,13,0,0,0,101,5,18,18,1,4,36,56,0,25,0,19,16,0,0,0,5,4,4,1,5,1,1,2,8,4,30,0,5,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
30.,0,0,1,0,0,1,1,0,0,0,108,0,2,1.,37,1,12,13,2,0,0,102,12,24,24,1,9,39,55,0,24,0,10,20,0,0,1,7,3,2,1,2,2,1,2,7,7,30,1,12,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
31.,0,0,1,0,0,1,1,0,0,0,108,0,2,1.,39,1,10,11,0,0,0,104,5,16,16,1,6,38,55,0,21,0,18,14,0,0,1,8,2,4,2,5,3,1,2,8,4,30,1,5,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201,50,0
32.,0,0,1,0,0,1,1,0,0,0,108,0,2,1.,41,1,8,9,0,0,0,103,4,20,20,2,7,38,54,0,21,0,16,16,0,0,1,9,1,5,2,2,1,1,2,6,4,30,0,4,201,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,201,50,0
33.,0,0,1,0,0,1,1,0,0,0,108,1,1,1.,41,1,8,9,0,0,0,105,5,20,20,2,5,39,53,0,20,0,15,15,0,0,1,11,0,2,1,1,2,0,2,6,1,30,1,5,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,201,50,0
