"T","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
26.,49,146,96,2,5,5,3,6,3,10,0,484,146,0,0,0,0,0,4,1,6,2,1,10,0,0,15,16,92,2,6,400,15,7,22,0,5,30,2,8,239,1,35,8,493,493,1,10,5,5,0,4,654,546,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
27.,48,146,97,3,6,5,4,3,1,11,0,486,146,0,0,0,0,0,2,0,6,3,1,3,0,0,10,14,94,3,5,400,10,10,20,0,4,30,1,11,236,1,22,11,493,493,1,14,2,2,0,1,654,546,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
28.,48,148,96,2,3,6,5,3,2,9,0,488,148,0,0,0,0,0,2.5,1,4,1.5,0,7,0,0,10,15,93,0,8,400,10,7,17,0,6,30,3,11,236,1,32,10,497,497,1,9,2,2,0,1,650,550,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
29.,50,146,96,1,4,7,2,5,1,11,0,484,146,0,0,0,0,0,4,1,6,1,1,12,0,0,15,14,94,0,8,400,15,10,25,0,6,30,3,10,237,1,31,10,500,500,3,16,6,6,0,5,654,546,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
30.,48,146,97,2,5,6,7,3,0,11,0,486,146,0,0,0,0,0,3,0,4,1,1,7,0,0,10,15,93,1,9,400,10,13,23,1,10,30,3,8,237,1,38,8,484,484,0,12,3,3,0,3,653,547,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
31.,48,149,98,2,3,1,3,2,3,4,0,494,149,0,0,0,0,0,3,0,2,2,1,3,0,0,8,18,90,2,8,400,8,9,17,0,4,30,1,8,239,1,30,7,491,491,0,19,3,3,0,3,661,539,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
32.,47,150,95,2,2,4,6,4,6,6,0,490,150,0,0,0,0,0,1.5,1,3,0.5,0,6,0,0,7,19,89,1,9,400,7,12,19,0,6,30,2,6,238,1,33,6,484,484,1,13,4,4,0,4,664,536,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
33.,49,148,96,1,5,5,1,2,3,10,0,488,148,0,0,0,0,0,2.5,2,9,1,0,14,0,0,16,19,89,1,9,400,16,9,25,0,2,30,1,6,239,1,30,6,485,485,0,20,2,2,0,2,664,536,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
34.,48,149,95,2,1,6,5,5,4,7,0,488,149,0,0,0,0,0,2,0,7,1.5,0,8,0,0,11,19,89,4,6,400,11,9,20,1,2,30,1,10,238,1,36,9,487,487,0,14,5,5,0,2,664,536,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
35.,47,148,97,5,4,3,2,3,3,7,0,490,148,0,0,0,0,0,1.5,0,6,2.5,0,4,0,0,9,19,89,3,7,400,9,9,18,0,8,30,0,15,239,1,33,15,487,487,0,13,4,4,0,2,655,545,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
36.,49,145,95,1,7,6,5,7,4,13,0,480,145,0,0,0,0,0,2.5,0,11,3.5,1,8,0,0,16,19,89,1,9,400,16,6,22,0,2,30,2,8,241,1,40,7,500,500,1,14,4,4,0,2,647,553,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
37.,50,145,97,1,8,3,0,5,3,11,0,484,145,0,0,0,0,0,2,2,6,3.5,0,5,0,0,12,18,90,1,9,400,12,6,18,0,2,30,5,12,243,1,37,12,504,504,0,10,1,1,0,1,647,553,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
38.,48,149,96,3,3,5,1,2,3,8,0,490,149,0,0,0,0,0,2,0,10,1,0,12,0,0,14,15,93,2,8,400,14,11,25,0,4,30,4,5,243,1,33,5,484,484,1,12,3,3,0,3,650,550,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
39.,49,147,97,2,4,3,2,5,3,7,0,488,147,0,0,0,0,0,2.5,1,7,1.5,0,10,0,0,13,15,93,2,8,400,13,9,22,0,2,30,2,13,245,1,28,13,485,485,2,14,7,7,0,6,652,548,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
40.,49,147,98,1,4,3,4,3,1,7,0,490,147,0,0,0,0,0,2,0,10,3.5,1,6,0,0,14,20,88,1,9,400,14,8,22,0,3,30,3,8,247,1,34,8,480,480,1,12,3,3,0,2,651,549,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,1,1,1
