# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_sTheta16.ka' '-l' '5000' '-p' '1' '-o' 'sTheta16_3.out' -seed 409349034
# "uuid" : "323092662"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
25.,50,145,94,1,7,8,1,7,4,15,0,478,145,0,0,0,0,0,0,3,0,0,3,0,0,0,3,22,86,1,11,1,3,4,7,2,3,30,3,10,864,4,6,10,484,484,2,17,3,3,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
26.,49,146,95,2,5,8,3,5,2,13,0,482,146,0,0,0,0,0,1,4,0,1.5,2,1,0,0,6,20,88,2,10,1,6,6,12,0,7,30,3,9,860,4,4,9,490,490,0,14,4,4,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
27.,49,145,95,3,6,8,2,6,2,14,0,480,145,0,0,0,0,0,0,4,0,1.5,1,0,0,0,4,22,86,1,11,1,4,9,13,0,4,30,3,13,860,5,4,13,493,493,1,20,4,4,0,3,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
28.,50,147,97,1,3,3,1,6,3,6,0,488,147,0,0,0,0,0,0.5,5,0,1,3,1,0,0,6,27,81,5,7,1,6,8,14,0,4,30,0,13,860,5,6,13,484,484,0,18,6,6,0,5,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
29.,49,145,95,4,6,8,0,6,2,14,0,480,145,0,0,0,0,0,1.5,2,0,1,2,1,0,0,5,27,81,3,9,1,5,10,15,0,3,30,1,10,861,5,5,10,488,488,2,17,9,9,0,5,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
30.,47,147,95,4,7,7,3,2,3,14,0,484,147,0,0,0,0,0,0,2,0,0.5,1,0,0,0,2,27,81,2,10,1,2,10,12,0,5,30,2,6,858,5,3,6,510,510,2,21,3,3,0,2,548,652,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
31.,47,149,96,4,3,1,3,6,7,4,0,490,149,0,0,0,0,0,2,5,0,1.5,6,0,0,0,9,25,83,2,10,1,9,11,20,1,7,30,2,12,854,5,4,12,503,503,0,17,2,2,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
32.,49,146,97,1,6,3,4,5,3,9,0,486,146,0,0,0,0,0,0.5,3,1,1,3,0,0,0,5,24,84,3,9,1,5,6,11,0,4,30,1,7,852,5,5,7,493,493,0,15,1,1,0,1,549,651,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
33.,47,149,95,3,4,5,4,3,5,9,0,488,149,0,0,0,0,0,1.5,2,0,1,3,0,0,0,5,26,82,1,11,0,5,5,10,0,3,30,2,8,849,6,4,8,499,499,2,14,4,4,0,4,550,650,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
34.,46,149,97,5,2,5,6,1,1,7,0,492,149,0,0,0,0,0,1.5,5,0,2,4,0,0,0,8,24,84,1,11,0,8,6,14,0,5,30,3,10,846,6,3,10,502,502,0,17,4,4,0,4,550,650,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
