# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_LFS16.ka' '-l' '5000' '-p' '1' '-o' 'LFS16_4.out' -seed 94595209
# "uuid" : "388533977"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
30.,50,144,96,2,4,6,4,10,2,10,0,480,144,0,0,0,0,0,1.5,4,0,2,3,0,0,0,7,30,78,7,9,1,7,11,18,0,9,30,5,12,912,9,5,12,718,718,0,11,5,5,0,4,548,652,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
31.,50,145,97,1,5,5,3,6,1,10,0,484,145,0,0,0,0,0,0,5,0,1,3,0,0,0,5,31,77,4,12,0,5,9,14,0,9,30,0,15,914,9,4,15,719,719,0,10,5,5,0,5,550,650,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
32.,47,147,97,6,6,4,0,2,2,10,0,488,147,0,0,0,0,0,0,2,0,1,0,0,0,0,2,32,76,8,8,1,2,12,14,0,8,30,5,3,921,12,2,3,733,733,0,11,6,6,0,6,549,651,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
33.,48,148,96,2,4,6,4,2,2,10,0,488,148,0,0,0,0,0,2,10,0,2.5,5,4,0,0,14,36,72,6,12,1,14,9,23,0,4,30,7,15,922,13,5,15,720,720,0,9,8,8,0,8,549,651,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
34.,47,147,96,4,5,6,5,3,2,11,0,486,147,0,0,0,0,0,0.5,7,0,3,2,0,0,0,8,32,76,7,11,0,8,5,13,0,5,30,2,15,917,12,5,15,721,721,2,17,7,7,0,7,550,650,0,500,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
35.,46,148,96,5,5,4,5,3,4,9,0,488,148,0,0,0,0,0,1,4,0,0,5,1,0,0,6,33,75,3,15,0,6,9,15,0,7,30,8,9,915,12,5,8,712,712,0,14,8,8,0,6,550,650,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
36.,47,147,96,3,6,5,6,3,3,11,0,486,147,0,0,0,0,0,1.5,8,0,1.5,5,3,0,0,11,32,76,8,10,4,11,9,20,0,7,30,6,17,925,13,2,17,707,707,0,12,9,9,0,8,546,654,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
37.,49,148,97,2,3,4,1,3,2,7,0,490,148,0,0,0,0,0,0.5,6,0,2,3,0,0,0,7,33,75,7,11,0,7,10,17,0,3,30,3,19,933,13,3,19,686,686,2,17,7,7,0,4,550,650,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
38.,49,147,99,1,5,2,3,1,0,7,0,492,147,0,0,0,0,0,1,5,0,2,3,0,0,0,7,32,76,3,13,0,7,10,17,0,3,30,4,14,936,13,1,14,686,686,0,10,9,9,0,6,550,650,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
39.,49,148,97,1,4,1,2,5,5,5,0,490,148,0,0,0,0,0,0,5,0,2,1,0,0,0,5,31,77,4,12,2,5,4,9,1,5,30,6,19,942,13,1,19,672,672,0,10,10,10,0,8,549,651,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
40.,47,143,97,5,10,5,6,5,1,15,0,480,143,0,0,0,0,0,1,6,0,1.5,5,0,0,0,8,28,80,3,13,0,8,8,16,0,6,30,6,9,950,13,4,9,671,671,2,11,8,8,0,7,551,649,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
41.,48,146,99,3,4,1,6,5,1,5,0,490,146,0,0,0,0,0,0,7,1,3,2,0,0,0,8,31,77,4,12,0,8,11,19,0,7,30,6,14,955,14,1,13,673,673,0,10,6,6,0,5,551,649,0,499,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,25,25,25,0,1,1,1,1
42.,49,146,97,2,6,4,2,4,2,10,0,486,146,0,0,0,0,0,1,3,0,2,1,0,0,0,5,28,80,6,12,1,5,10,15,0,4,30,4,16,961,14,5,16,675,675,1,17,7,7,0,4,550,650,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
43.,49,147,96,2,4,5,2,5,3,9,0,486,147,0,0,0,0,0,0.5,4,0,1.5,1,1,0,0,5,26,82,5,13,2,5,11,16,1,7,30,3,11,964,14,2,11,695,695,0,13,3,3,0,2,549,651,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
44.,48,146,98,2,7,2,5,3,2,9,0,488,146,0,0,0,0,0,0.5,2,0,0.5,1,1,0,0,3,32,76,5,12,2,3,12,15,0,5,30,6,14,967,15,5,14,698,698,0,15,3,3,0,2,549,651,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
45.,48,148,95,2,3,4,5,7,6,7,0,486,148,0,0,0,0,0,1.5,2,0,1,3,0,0,0,5,35,73,7,11,0,5,14,19,0,5,30,5,6,963,14,4,6,695,695,1,11,2,2,0,2,551,649,0,499,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,25,25,25,0,1,1,1,1
