# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_weakLTP16.ka' '-l' '5000' '-p' '1' '-o' 'weakLTP16_2.out' -seed 311421603
# "uuid" : "33098982"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
53.,49,148,97,2,4,4,0,2,2,8,0,490,148,0,0,0,0,0,1,0,10,1,2,8,0,0,12,12,96,1,5,400,12,12,24,0,2,30,2,6,95,0,23,6,482,482,0,20,4,4,0,4,633,567,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
54.,48,148,95,3,4,8,2,2,2,12,0,486,148,0,0,0,0,0,2.5,0,6,2,1,6,0,0,11,11,97,2,4,400,11,5,16,0,2,30,4,1,90,0,27,1,489,489,1,18,2,2,0,2,633,567,0,499,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
55.,49,145,97,3,6,5,2,5,1,11,0,484,145,0,0,0,0,0,2,0,4,1,0,6,0,0,8,10,98,2,4,400,8,7,15,1,10,30,2,13,87,0,29,12,489,489,1,16,5,5,0,3,629,571,0,499,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,25,25,25,0,1,2,1,2
56.,50,146,97,2,3,5,1,6,1,8,0,486,146,0,0,0,0,0,1,0,3,1,0,3,0,0,5,13,95,3,3,400,5,7,12,0,3,30,2,9,85,0,31,9,483,483,0,15,6,6,0,5,623,577,0,499,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
57.,49,145,97,3,6,4,2,6,2,10,0,484,145,0,0,0,0,0,2,1,6,2,1,6,0,0,11,11,97,1,5,400,11,4,15,2,1,30,2,13,82,0,33,12,483,483,0,20,3,3,0,3,619,581,0,499,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
58.,49,144,96,3,9,6,1,5,2,15,0,480,144,0,0,0,0,0,1.5,0,7,1.5,1,6,0,0,10,9,99,1,5,400,10,6,16,1,3,30,2,11,79,0,28,11,501,501,1,11,2,2,0,2,619,581,0,499,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
59.,50,145,96,1,7,6,1,5,2,13,0,482,145,0,0,0,0,0,0.5,0,6,2.5,0,2,0,0,7,8,100,0,6,400,7,9,16,0,7,30,3,10,76,0,35,10,505,505,2,16,2,2,0,2,615,585,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
60.,49,145,97,3,5,6,3,5,0,11,0,484,145,0,0,0,0,0,1,0,6,1.5,0,5,0,0,8,9,99,1,5,400,8,8,16,1,4,30,1,9,73,0,33,8,496,496,1,15,6,6,0,5,616,584,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
61.,48,146,98,6,3,3,1,6,1,6,0,488,146,0,0,0,0,0,1.5,0,7,2,1,5,0,0,10,9,99,3,3,400,10,7,17,0,3,30,0,8,72,0,37,8,501,501,3,14,6,6,0,5,616,584,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
62.,49,144,97,1,10,3,4,5,3,13,0,482,144,0,0,0,0,0,0.5,1,1,0,0,3,0,0,3,9,99,0,6,400,3,13,16,0,1,30,0,11,71,0,38,11,503,503,2,8,1,1,0,1,612,588,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
63.,48,148,97,2,5,1,3,4,5,6,0,490,148,0,0,0,0,0,1.5,0,9,3.5,0,5,0,0,12,9,99,0,6,400,12,6,18,0,4,30,1,7,68,0,38,7,502,502,3,13,3,3,0,3,614,586,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
64.,47,148,98,3,5,2,5,1,2,7,0,492,148,0,0,0,0,0,2,0,7,2.5,0,6,0,0,11,9,99,3,3,400,11,7,18,0,6,30,1,11,68,0,37,11,504,504,0,12,1,1,0,1,614,586,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
65.,48,149,96,2,2,7,4,1,1,9,0,490,149,0,0,0,0,0,0,1,11,2,0,8,0,0,12,10,98,1,5,400,12,7,19,0,6,30,1,2,67,0,40,2,481,481,0,10,4,4,0,4,602,598,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,25,25,25,0,1,2,1,2
