# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Delta16.ka' '-l' '5000' '-p' '1' '-o' 'Delta16_2.out' -seed 1033227901
# "uuid" : "667674758"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
25.,49,145,97,1,9,2,3,5,4,11,0,484,145,0,0,0,0,0,1,0,10,2,0,8,0,0,12,9,99,0,8,400,12,5,17,1,6,30,3,9,154,0,27,9,484,484,2,10,2,2,0,1,632,568,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,1,2,1,2
26.,49,146,95,1,9,6,1,3,4,15,0,482,146,0,0,0,0,0,1.5,1,10,3,1,7,0,0,14,9,99,2,6,400,14,5,19,0,6,30,0,10,148,0,31,10,477,477,1,17,5,5,0,5,640,560,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
27.,47,149,96,3,6,4,2,0,4,10,0,490,149,0,0,0,0,0,4,1,10,3.5,1,11,0,0,19,9,99,2,6,400,19,5,24,0,6,30,0,7,146,0,19,7,476,476,0,13,1,1,0,1,638,562,0,499,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,2,2,1,2
28.,48,147,95,2,8,5,2,3,5,13,0,484,147,0,0,0,0,0,2,2,8,4,0,6,0,0,14,10,98,0,8,400,14,4,18,0,4,30,1,10,145,0,24,10,482,482,1,16,3,3,0,2,634,566,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
29.,47,148,95,3,5,6,5,3,4,11,0,486,148,0,0,0,0,0,3,0,5,2.5,0,6,0,0,11,10,98,2,6,400,11,3,14,0,6,30,1,6,141,0,33,6,478,478,0,11,3,3,0,3,634,566,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
30.,49,149,95,0,4,4,2,4,6,8,0,488,149,0,0,0,0,0,1.5,2,8,1.5,1,9,0,0,13,9,99,0,8,400,13,5,18,0,1,30,2,11,138,0,33,11,496,496,0,15,5,5,0,4,631,569,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
31.,47,147,97,3,7,2,5,3,4,9,0,488,147,0,0,0,0,0,1.5,1,11,2.5,1,9,0,0,15,9,99,3,5,400,15,4,19,1,8,30,3,15,133,0,29,15,501,501,0,17,2,2,0,1,631,569,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
32.,49,146,94,2,6,10,2,4,2,16,0,480,146,0,0,0,0,0,3.5,0,4,2,0,7,0,0,11,19,89,3,5,400,11,6,17,0,3,30,0,8,128,0,24,8,504,504,2,13,4,4,0,3,635,565,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
33.,49,145,97,2,7,5,3,4,1,12,0,484,145,0,0,0,0,0,1.5,1,6,1,1,7,0,0,10,20,88,1,7,400,10,6,16,0,3,30,1,6,119,0,38,6,482,482,2,22,4,4,0,2,640,560,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
34.,49,146,98,2,6,3,2,3,1,9,0,488,146,0,0,0,0,0,3,0,3,2,1,4,0,0,9,20,88,1,7,400,9,5,14,0,6,30,1,7,116,0,28,7,469,469,0,13,4,4,0,4,642,558,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
35.,47,148,97,4,5,3,3,2,3,8,0,490,148,0,0,0,0,0,2,0,7,2.5,0,6,0,0,11,22,86,4,4,400,11,5,16,0,3,30,3,9,113,0,36,9,454,454,2,23,2,2,0,2,643,557,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
36.,48,146,97,4,5,4,3,5,2,9,0,486,146,0,0,0,0,0,1,0,7,3.5,0,2,0,0,9,22,86,1,7,400,9,8,17,0,1,30,4,14,112,0,22,14,468,468,0,16,4,4,0,4,651,549,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
37.,47,146,98,4,6,2,6,4,2,8,0,488,146,0,0,0,0,0,3.5,0,5,2.5,1,6,0,0,12,21,87,3,5,400,12,8,20,0,4,30,2,9,108,0,24,9,452,452,0,15,5,5,0,4,651,549,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
38.,48,147,97,3,5,6,3,1,0,11,0,488,147,0,0,0,0,0,3.5,0,5,1.5,2,7,0,0,12,23,85,1,7,400,12,7,19,0,5,30,2,5,108,0,26,5,453,453,1,21,4,4,0,3,651,549,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
39.,49,147,95,2,5,8,1,3,2,13,0,484,147,0,0,0,0,0,2,1,9,2.5,1,8,0,0,14,20,88,1,7,400,14,4,18,0,5,30,3,9,104,0,26,9,472,472,0,13,2,2,0,2,651,549,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,25,25,1,2,2,1,2
