# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_Theta16.ka' '-l' '5000' '-p' '1' '-o' 'Theta16_1.out' -seed 114231022
# "uuid" : "889241218"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
31.,48,146,99,4,6,0,2,4,2,6,0,490,146,0,0,0,0,0,1.5,1,6,2,0,6,0,0,10,14,94,1,7,400,10,9,19,0,5,30,3,11,129,0,29,11,498,498,2,13,5,5,0,5,630,570,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
32.,47,147,96,2,7,4,7,3,4,11,0,486,147,0,0,0,0,0,0.5,1,4,1.5,1,2,0,0,6,14,94,0,8,400,6,8,14,0,5,30,5,7,128,0,38,7,512,512,1,19,4,4,0,2,626,574,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
33.,49,147,99,2,4,1,2,3,1,5,0,492,147,0,0,0,0,0,0.5,1,8,1,1,7,0,0,10,14,94,2,6,400,10,10,20,0,5,30,5,5,127,0,28,5,504,504,0,12,1,1,0,1,626,574,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
34.,49,149,96,1,4,5,0,1,3,9,0,490,149,0,0,0,0,0,0.5,0,3,1,0,2,0,0,4,13,95,1,7,400,4,11,15,0,6,30,2,10,122,0,34,10,502,502,0,12,2,2,0,2,626,574,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
35.,49,147,95,1,4,7,4,5,3,11,0,484,147,0,0,0,0,0,0,0,5,1,0,3,0,0,5,15,93,2,6,400,5,7,12,0,3,30,4,10,118,0,25,10,506,506,0,19,2,2,0,2,619,581,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
36.,48,149,97,1,4,2,4,2,4,6,0,492,149,0,0,0,0,0,0,0,9,1.5,0,6,0,0,9,15,93,0,8,400,9,5,14,0,4,30,3,8,115,0,27,8,491,491,0,18,3,3,0,3,618,582,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
37.,47,147,95,4,6,4,4,6,6,10,0,484,147,0,0,0,0,0,1,0,2,0.5,0,3,0,0,4,15,93,1,7,400,4,5,9,0,3,30,3,9,116,0,27,9,509,509,0,12,2,2,0,1,618,582,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
38.,48,146,96,5,5,6,1,5,2,11,0,484,146,0,0,0,0,0,1.5,0,6,2,0,5,0,0,9,18,90,3,5,400,9,6,15,0,5,30,2,8,112,0,28,8,492,492,0,13,2,2,0,1,622,578,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
39.,48,149,98,2,3,1,3,2,3,4,0,494,149,0,0,0,0,0,1,0,7,1,0,7,0,0,9,16,92,3,5,400,9,9,18,0,7,30,3,7,109,0,23,7,499,499,0,12,2,2,0,2,626,574,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
40.,48,146,94,4,6,7,2,7,5,13,0,480,146,0,0,0,0,0,1,0,4,1.5,0,3,0,0,6,12,96,2,6,400,6,5,11,0,8,30,2,8,108,0,35,8,480,480,0,14,3,3,0,3,619,581,0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,25,25,1,1,1,1,1
