# Output of 'KaSim' 'AMPA5_equal.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_Basal.ka' '-l' '5000' '-p' '1' '-o' 'equal.out' -seed 717599127
# "uuid" : "629474052"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23"
49.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,30,0,20,20,0,2,0,108,10,28,28,1,3,39,41,0,23,0,12,14,0,0,0,19,5,10,1,10,7,1,3,17,6,30,4,10,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,125,125
50.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,30,0,20,20,0,2,0,107,7,28,28,5,6,39,33,0,10,0,10,8,0,0,0,24,4,12,3,7,7,2,4,11,7,30,1,7,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,125,125
51.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,31,0,19,19,1,2,0,108,6,21,21,0,5,39,37,0,15,0,8,13,0,0,0,23,6,7,3,4,6,2,3,14,3,30,1,6,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,125,125
52.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,32,0,18,18,1,2,0,107,6,25,25,2,4,39,33,0,12,0,6,8,0,0,0,25,6,12,3,10,9,2,4,13,3,30,1,6,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
53.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,34,0,16,16,0,2,0,107,7,18,18,1,5,39,35,0,9,0,10,7,0,0,0,26,4,16,1,10,10,1,4,9,6,30,2,7,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
54.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,35,0,15,15,0,3,0,108,13,32,32,1,7,39,36,0,14,0,5,9,0,0,0,23,6,10,1,2,6,1,4,9,7,30,0,13,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
55.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,0,3,0,108,13,32,32,4,6,37,32,0,13,0,5,10,0,0,0,25,5,10,4,12,7,4,3,8,6,30,1,13,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
56.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,0,4,0,107,12,43,43,1,6,39,38,0,17,0,9,14,0,0,0,24,3,9,2,5,6,1,4,6,3,30,2,12,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
57.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,36,0,14,14,0,3,0,105,6,16,16,1,5,39,38,0,11,0,7,8,0,0,0,24,3,11,0,7,8,0,3,10,4,30,2,6,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
58.,0,0,0,0,0,0,0,0,0,0,108,0,0,0.,37,0,13,13,0,1,0,108,8,25,25,1,6,38,41,0,15,0,10,11,0,0,0,20,4,9,1,3,5,1,2,12,4,30,1,8,125,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,125,125
