# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' 'basal.out' -seed 972262943
# "uuid" : "999915017"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
38.,140,1,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,2,18,0,31,20,11,6,12,9,5,0,31,1,30,0,0,0,141,35,137,3,1,0,0,0,137,4,0,0,0,0,138,3,0,0,0,0
39.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,1,13,0,33,17,13,6,17,12,6,0,22,1,30,2,0,0,141,35,137,3,0,1,0,0,136,5,0,0,0,0,138,3,0,0,0,0
40.,141,0,0,0,0,0,0,39,1,0,38,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,19,0,2,16,0,33,19,11,6,12,10,6,0,28,0,30,0,0,0,141,35,137,3,0,1,0,0,136,5,0,0,0,0,139,2,0,0,0,0
41.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,4,18,0,33,18,13,5,8,12,5,0,23,1,30,2,0,0,141,35,138,2,1,0,0,0,135,6,0,0,0,0,138,3,0,0,0,0
42.,140,1,0,0,0,0,0,39,0,0,39,1,48,1,1,15,0,39.,0,39,11,50,0,0,0,21,0,1,16,0,30,21,10,9,12,6,9,0,28,1,30,1,0,0,141,35,138,2,1,0,0,0,135,6,0,0,0,0,139,2,0,0,0,0
43.,141,0,0,0,0,0,0,39,0,0,39,2,47,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,2,15,0,31,19,14,5,13,12,5,0,28,0,30,2,0,0,141,35,138,2,1,0,0,0,135,6,0,0,0,0,139,2,0,0,0,0
44.,140,1,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,19,0,1,17,0,35,18,11,9,16,10,9,0,29,0,30,2,0,0,141,35,139,1,1,0,0,0,135,6,0,0,0,0,139,2,0,0,0,0
45.,140,1,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,2,13,0,34,19,15,8,15,12,7,0,29,0,30,2,0,0,141,35,139,1,1,0,0,0,135,6,0,0,0,0,139,2,0,0,0,0
46.,139,2,0,0,0,0,0,39,0,0,39,2,47,0,2,15,0,39.,0,39,11,50,0,0,0,20,0,2,18,0,39,16,14,4,11,11,4,0,25,0,30,0,0,0,141,35,139,2,0,0,0,0,135,5,1,0,0,0,139,2,0,0,0,0
47.,141,0,0,0,0,0,0,39,0,0,39,3,46,0,2,15,0,39.,0,39,11,50,0,0,0,18,0,4,19,0,39,14,11,7,10,7,6,0,28,1,30,1,0,0,141,35,139,2,0,0,0,0,135,5,1,0,0,0,139,2,0,0,0,0
48.,140,1,0,0,0,0,0,39,1,0,38,4,45,0,2,15,0,39.,1,39,10,49,0,0,0,17,0,6,17,0,38,10,19,2,12,17,2,0,27,0,30,1,0,0,141,35,139,2,0,0,0,0,136,4,1,0,0,0,139,2,0,0,0,0
49.,141,0,0,0,0,0,0,39,1,0,38,2,47,0,2,15,0,39.,1,39,10,49,0,0,0,16,0,4,17,0,36,15,13,5,9,13,5,0,28,0,30,2,0,0,141,35,139,2,0,0,0,0,136,4,1,0,0,0,139,2,0,0,0,0
50.,141,0,0,0,0,0,0,40,2,0,38,2,47,0,2,15,0,40.,0,40,10,50,0,0,0,17,0,3,18,0,38,14,13,7,10,10,5,0,24,0,30,1,0,0,141,35,139,2,0,0,0,0,136,4,1,0,0,0,139,2,0,0,0,0
51.,140,1,0,0,0,0,0,40,1,0,39,3,46,0,2,15,0,40.,0,40,10,50,0,0,0,16,0,0,14,0,36,15,15,5,9,12,4,0,28,1,30,1,0,0,141,35,140,1,0,0,0,0,136,4,1,0,0,0,138,3,0,0,0,0
52.,140,1,0,0,0,0,0,40,1,0,39,3,46,1,1,15,0,40.,0,40,10,50,0,0,0,16,0,2,21,0,35,19,11,6,14,9,6,0,32,0,30,1,0,0,141,35,141,0,0,0,0,0,136,4,1,0,0,0,139,2,0,0,0,0
53.,141,0,0,0,0,0,0,40,1,0,39,3,46,0,2,15,0,40.,0,40,10,50,0,0,0,17,0,2,14,0,34,18,16,5,14,13,5,0,25,0,30,2,0,0,141,35,141,0,0,0,0,0,136,4,1,0,0,0,139,2,0,0,0,0
54.,141,0,0,0,0,0,0,39,0,0,39,3,46,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,2,15,0,34,17,13,5,17,13,5,0,30,1,30,2,0,0,141,35,140,1,0,0,0,0,136,4,1,0,0,0,138,3,0,0,0,0
55.,141,0,0,0,0,0,0,39,0,0,39,3,46,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,3,9,0,35,18,18,8,14,16,8,0,26,1,30,1,0,0,141,35,139,2,0,0,0,0,136,4,1,0,0,0,138,3,0,0,0,0
56.,140,1,0,0,0,0,0,39,0,0,39,4,45,0,2,15,0,39.,1,39,10,49,0,0,0,17,0,1,15,0,36,18,12,9,12,7,9,0,29,0,30,1,0,0,141,35,139,2,0,0,0,0,136,5,0,0,0,0,138,3,0,0,0,0
